epoch,train_loss,val_loss,train_acc_top1,val_acc_top1,lr
1,3.9925,3.7576,9.80,10.00,0.000300
2,2.9976,2.7325,29.62,34.69,0.000300
3,2.3261,2.2164,46.88,47.19,0.000300
4,1.8530,1.8505,58.45,54.69,0.000299
5,1.6911,1.8430,61.29,61.56,0.000299
6,1.5562,1.5744,63.71,63.44,0.000298
7,1.4797,1.8596,64.91,60.31,0.000297
8,1.2614,1.5914,71.02,64.69,0.000296
9,1.3411,1.6373,70.81,65.31,0.000295
10,1.1882,1.4584,74.01,69.69,0.000294
11,1.1453,1.3942,73.79,65.00,0.000293
12,1.1785,1.6743,72.37,62.19,0.000291
13,1.1859,1.2830,75.28,71.88,0.000289
14,1.1767,1.5357,73.51,64.38,0.000288
15,1.1045,1.3729,73.08,70.31,0.000286
16,1.1052,1.3783,75.00,68.12,0.000284
17,1.0408,1.1034,77.20,70.94,0.000281
18,0.9743,1.0999,79.33,75.94,0.000279
19,0.8728,1.2739,81.82,74.69,0.000277
20,0.9850,1.1648,77.84,77.50,0.000274
21,0.9096,1.3438,79.40,71.56,0.000271
22,0.8622,0.9763,80.47,78.44,0.000269
23,0.9421,1.2442,80.18,70.00,0.000266
24,0.8682,0.9832,80.40,78.44,0.000263
25,0.7579,1.2520,82.32,73.44,0.000259
26,0.8483,1.1840,79.97,73.12,0.000256
27,0.7961,1.2347,81.46,73.75,0.000253
28,0.7622,0.9914,82.17,75.94,0.000249
29,0.6983,1.2350,84.66,71.25,0.000246
30,0.8203,1.0338,80.33,77.19,0.000242
31,0.7192,0.9264,84.80,78.12,0.000238
32,0.7850,0.7643,83.03,81.56,0.000234
33,0.6902,0.8877,84.38,81.88,0.000230
34,0.7109,1.1991,83.45,72.81,0.000226
35,0.6719,0.8704,84.52,79.38,0.000222
36,0.6311,0.9953,84.66,77.19,0.000218
37,0.7201,0.9275,84.16,77.19,0.000214
38,0.6275,0.7947,85.01,82.50,0.000210
39,0.6884,0.8502,85.16,82.50,0.000205
40,0.7422,0.9743,83.59,77.81,0.000201
41,0.6486,0.8676,85.80,80.31,0.000196
42,0.7538,1.0724,83.38,76.88,0.000192
43,0.5891,1.1822,87.78,75.31,0.000187
44,0.6298,0.9055,87.29,81.88,0.000183
45,0.6287,0.9498,86.22,79.69,0.000178
46,0.5842,0.8721,87.14,82.50,0.000173
47,0.5943,1.0261,86.79,76.25,0.000169
48,0.5768,0.8078,87.64,82.81,0.000164
49,0.6584,0.8831,85.30,83.75,0.000159
50,0.7012,0.7183,82.95,87.81,0.000155
51,0.5237,0.8369,88.92,82.50,0.000150
52,0.6280,0.7466,86.43,81.88,0.000145
53,0.6335,0.9431,86.22,79.69,0.000141
54,0.6317,0.7582,86.15,81.56,0.000136
55,0.5166,0.7698,88.99,82.19,0.000131
56,0.5148,0.6779,88.64,84.38,0.000127
57,0.4482,0.7532,89.28,82.81,0.000122
58,0.5833,0.6775,87.64,85.00,0.000117
59,0.4852,0.8468,89.28,80.94,0.000113
60,0.5325,0.6800,87.71,85.31,0.000108
61,0.5081,0.6137,88.14,87.81,0.000104
62,0.5671,0.8072,88.64,82.50,0.000099
63,0.5331,0.8747,88.78,81.56,0.000095
64,0.5520,0.6991,88.07,86.56,0.000090
65,0.4688,0.5421,89.42,89.06,0.000086
66,0.4860,0.6568,89.35,85.00,0.000082
67,0.5183,1.1266,87.64,73.12,0.000078
68,0.5330,0.6769,88.21,85.62,0.000074
69,0.4309,0.7758,90.48,83.75,0.000070
70,0.4264,0.9053,90.62,81.25,0.000066
71,0.4876,0.7369,89.42,83.44,0.000062
72,0.5146,0.5301,88.49,88.75,0.000058
73,0.4536,0.8176,90.41,82.19,0.000054
74,0.4934,0.7426,88.99,86.25,0.000051
75,0.5157,0.6822,88.21,84.38,0.000047
76,0.4260,0.5580,90.70,88.12,0.000044
77,0.3847,0.7913,90.91,81.88,0.000041
78,0.3932,0.7738,91.76,82.50,0.000037
79,0.4450,0.7383,89.56,83.75,0.000034
80,0.3648,0.4294,92.33,90.62,0.000031
81,0.4171,0.9216,89.91,79.69,0.000029
82,0.4217,0.6546,90.70,84.69,0.000026
83,0.4235,0.6209,90.55,89.69,0.000023
84,0.4067,0.6931,91.34,83.44,0.000021
85,0.4339,0.6946,90.20,82.81,0.000019
86,0.4424,0.6858,90.34,85.94,0.000016
87,0.4657,0.4570,89.35,92.19,0.000014
88,0.3952,0.4818,91.48,90.62,0.000012
89,0.4088,0.9108,90.98,82.19,0.000011
90,0.4550,0.9431,90.34,76.88,0.000009
91,0.4533,0.9012,90.41,82.19,0.000007
92,0.4602,0.4640,89.20,90.94,0.000006
93,0.4506,0.5799,89.56,89.06,0.000005
94,0.4479,0.6653,90.77,86.56,0.000004
95,0.4202,0.6795,90.41,83.75,0.000003
96,0.3793,0.7589,92.33,80.94,0.000002
97,0.3891,0.6407,91.34,85.31,0.000001
98,0.4714,0.6631,88.57,86.88,0.000001
99,0.5015,0.5323,88.71,88.12,0.000000
100,0.4069,0.5334,90.62,86.88,0.000000
